decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,month,year,day,decade,lat_grid,lon_grid,phylum_enc,class_enc,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,season_enc,species_richness,TARGET_sighting_density
17.566937,73.481378,1000.0,8,2012,13,2010,17.6,73.5,2,0,2,19,4,3,0,29,37
17.527791,73.520177,1000.0,7,1914,11,1910,17.5,73.5,2,12,8,18,6,2,0,37,174
17.458085,73.706584,312.0,6,2016,23,2010,17.5,73.7,2,10,23,15,4,0,0,15,13
17.429231,73.71168,1500.0,11,2019,1,2010,17.4,73.7,2,0,2,19,4,3,1,51,307
17.542863,73.814119,1000.0,7,2024,7,2020,17.5,73.8,2,10,23,24,1,1,0,20,57
17.661766,73.515058,1000.0,7,2016,27,2010,17.7,73.5,2,12,14,12,4,1,0,7,54
17.770247,73.725002,209.0,1,2015,1,2010,17.8,73.7,2,10,23,15,4,0,3,7,6
17.436769,73.833747,1000.0,9,2022,19,2020,17.4,73.8,2,0,2,47,4,0,0,31,70
17.434126,73.72045,1000.0,2,2013,13,2010,17.4,73.7,2,0,2,19,1,3,3,51,24
17.401942,73.576121,301.0,9,2017,17,2010,17.4,73.6,2,9,16,50,4,0,0,10,20
17.596237,73.85,5091.0,8,2017,13,2010,17.6,73.8,2,9,7,29,4,0,0,37,96
17.560544,73.464013,1405.0,8,2013,1,2010,17.6,73.5,2,10,23,0,4,0,0,29,37
17.407976,73.737494,1000.0,6,2022,3,2020,17.4,73.7,2,0,12,32,4,3,0,51,219
17.411013,73.733046,200.0,11,1957,15,1950,17.4,73.7,2,0,2,45,4,3,1,51,307
17.794271,73.82016,1000.0,11,2023,7,2020,17.8,73.8,2,12,8,40,6,2,1,9,11
17.635512,73.814159,1000.0,10,1953,17,1950,17.6,73.8,1,2,13,60,4,3,1,37,165
17.735003,73.826156,993.0,5,2013,28,2010,17.7,73.8,2,10,23,33,4,0,2,40,76
17.585533,73.817538,4157.0,9,2019,9,2010,17.6,73.8,2,10,23,15,4,0,0,37,146
17.37946,73.734651,3.06,2,1962,23,1960,17.4,73.7,2,9,16,50,4,3,3,51,24
17.514082,73.505183,1000.0,12,2015,7,2010,17.5,73.5,1,1,3,56,0,0,3,37,145
17.567415,73.468944,1000.0,7,1962,13,1960,17.6,73.5,2,0,2,19,4,3,0,29,74
17.712378,73.83469,1000.0,9,2010,13,2010,17.7,73.8,4,12,11,4,1,1,0,40,181
17.687783,73.534481,1000.0,4,2015,7,2010,17.7,73.5,2,12,14,12,4,1,2,7,17
17.430454,73.738106,1500.0,10,2025,2,2020,17.4,73.7,2,10,23,15,4,3,1,51,383
17.52771,73.520196,1000.0,10,1959,29,1950,17.5,73.5,1,1,3,48,1,0,1,37,138
17.467782,73.819374,1000.0,8,2012,23,2010,17.5,73.8,1,2,13,60,4,3,0,20,32
17.542824,73.516706,50000.0,12,1962,9,1960,17.5,73.5,1,1,3,1,0,0,3,37,145
17.711761,73.788954,1000.0,7,2022,15,2020,17.7,73.8,2,10,23,0,4,0,0,40,210
17.596033,73.85,5091.0,12,2016,13,2010,17.6,73.8,2,10,23,0,4,0,3,37,156
17.527335,73.85,1000.0,9,1961,29,1960,17.5,73.8,2,10,23,0,4,0,0,20,58
17.648994,73.814197,30716.0,11,2024,28,2020,17.6,73.8,2,10,23,24,4,0,1,37,124
17.545248,73.775843,64168.0,7,2010,1,2010,17.5,73.8,2,10,23,15,4,0,0,20,57
17.577854,73.821998,30.0,12,2015,17,2010,17.6,73.8,2,10,23,24,4,3,3,37,156
17.483063,73.467184,1000.0,1,2017,1,2010,17.5,73.5,1,1,3,48,4,0,3,37,128
17.716962,73.822649,993.0,10,2013,13,2010,17.7,73.8,2,0,2,37,4,0,1,40,200
17.404043,73.57651,1000.0,5,2024,29,2020,17.4,73.6,5,5,20,52,4,3,2,10,7
17.684812,73.523927,1000.0,5,2025,26,2020,17.7,73.5,2,12,14,12,4,1,2,7,23
17.565459,73.841129,1000.0,4,2003,29,2000,17.6,73.8,2,10,23,24,4,3,2,37,56
17.467019,73.818745,1000.0,4,2019,29,2010,17.5,73.8,2,12,8,40,4,3,2,20,22
17.402332,73.716423,1000.0,7,1962,15,1960,17.4,73.7,2,10,23,24,4,1,0,51,505
17.687791,73.506298,1000.0,10,2013,5,2010,17.7,73.5,2,12,14,12,4,1,1,7,73
17.568206,73.508226,112.0,7,2012,20,2010,17.6,73.5,2,9,16,50,4,0,0,29,74
17.688519,73.534802,1000.0,6,2013,7,2010,17.7,73.5,2,12,14,12,6,2,0,7,29
17.508169,73.814514,75.0,11,2020,18,2020,17.5,73.8,2,10,23,0,4,0,1,20,44
17.430909,73.646158,1000.0,9,2022,13,2020,17.4,73.6,2,12,8,40,6,2,0,10,20
17.419128,73.724609,200.0,1,2013,13,2010,17.4,73.7,2,0,2,6,4,3,3,51,388
17.537115,73.497329,50000.0,6,1962,27,1960,17.5,73.5,1,1,3,42,1,0,0,37,68
17.421528,73.720587,200.0,3,1957,5,1950,17.4,73.7,2,0,2,6,4,3,2,51,73
17.709343,73.828737,205.0,4,2012,9,2010,17.7,73.8,2,10,23,0,4,0,2,40,59
17.49235,73.84807,1000.0,8,2023,4,2020,17.5,73.8,1,2,1,53,4,3,0,20,32
17.559104,73.487471,1000.0,11,2020,7,2020,17.6,73.5,2,0,2,19,4,3,1,29,58
17.736342,73.836998,994.0,9,2022,31,2020,17.7,73.8,2,9,15,10,4,0,0,40,181
17.416028,73.71981,1500.0,10,2012,28,2010,17.4,73.7,2,10,23,15,4,3,1,51,383
17.428124,73.709513,1500.0,7,2025,1,2020,17.4,73.7,2,0,2,19,4,3,0,51,505
17.698496,73.593336,207.0,1,2022,15,2020,17.7,73.6,1,8,9,23,4,0,3,4,3
17.395426,73.714708,1000.0,10,1965,7,1960,17.4,73.7,2,12,8,18,6,2,1,51,383
17.726339,73.8384,1000.0,11,1957,25,1950,17.7,73.8,4,12,11,4,1,1,1,40,127
17.569717,73.498049,1000.0,10,2014,16,2010,17.6,73.5,2,0,2,19,4,3,1,29,70
17.367186,73.724235,1000.0,9,2011,13,2010,17.4,73.7,2,12,18,51,4,3,0,51,322
17.719111,73.842414,3777.0,12,2012,6,2010,17.7,73.8,2,10,23,63,5,0,3,40,174
17.420708,73.739623,1000.0,1,2018,18,2010,17.4,73.7,2,0,12,32,4,3,3,51,388
17.397134,73.74074,1000.0,1,2016,26,2010,17.4,73.7,2,9,15,10,4,0,3,51,388
17.40009,73.728345,200.0,7,2013,9,2010,17.4,73.7,2,0,2,6,4,3,0,51,505
17.52531,73.522547,1000.0,11,2016,20,2010,17.5,73.5,2,10,23,15,4,0,1,37,114
17.435963,73.721212,1069.0,10,1962,2,1960,17.4,73.7,2,10,23,63,4,0,1,51,383
17.794271,73.749152,1000.0,10,2022,22,2020,17.8,73.7,2,9,15,10,4,0,1,7,8
17.576178,73.843305,4151.0,10,2019,19,2010,17.6,73.8,1,8,9,23,4,0,1,37,165
17.578016,73.842066,4151.0,1,2015,7,2010,17.6,73.8,1,1,17,7,4,0,3,37,127
17.487719,73.512119,1000.0,1,2012,18,2010,17.5,73.5,5,5,20,52,1,3,3,37,128
17.354214,73.71471,3.06,10,2024,23,2020,17.4,73.7,2,9,16,50,4,3,1,51,383
17.702486,73.810535,1000.0,1,2012,1,2010,17.7,73.8,1,1,17,7,1,3,3,40,168
17.414906,73.739413,200.0,7,2015,12,2010,17.4,73.7,2,0,2,6,4,3,0,51,505
17.708563,73.824951,3152.0,1,2006,27,2000,17.7,73.8,2,0,2,19,4,0,3,40,168
17.373745,73.715764,8.0,11,1975,23,1970,17.4,73.7,2,10,23,15,5,0,1,51,307
17.590971,73.827188,30.0,11,2024,8,2020,17.6,73.8,2,10,23,0,4,3,1,37,124
17.383306,73.714406,3.06,12,2022,27,2020,17.4,73.7,2,9,16,50,4,3,3,51,503
17.534482,73.528626,1000.0,12,2011,26,2010,17.5,73.5,1,1,3,17,0,0,3,37,145
17.62605,73.837693,30716.0,12,2022,18,2020,17.6,73.8,2,9,5,5,4,0,3,37,156
17.411252,73.730618,1000.0,12,2014,25,2010,17.4,73.7,2,10,23,24,4,1,3,51,503
17.665716,73.742978,1000.0,12,2020,17,2020,17.7,73.7,2,10,23,64,4,0,3,8,29
17.43807,73.707362,1500.0,10,2018,20,2010,17.4,73.7,2,0,2,6,4,3,1,51,383
17.687496,73.85,1000.0,9,2024,10,2020,17.7,73.8,2,9,16,30,4,0,0,40,181
17.73884,73.489238,1000.0,6,2003,1,2000,17.7,73.5,1,8,9,44,4,3,0,7,29
17.471584,73.826868,1000.0,9,2015,21,2010,17.5,73.8,1,2,13,60,4,3,0,20,58
17.419269,73.718233,1000.0,6,1914,20,1910,17.4,73.7,2,0,12,32,4,3,0,51,219
17.57145,73.488437,1000.0,12,2016,13,2010,17.6,73.5,2,0,2,46,4,3,3,29,64
17.545999,73.515165,58.0,1,2003,29,2000,17.5,73.5,2,10,23,24,4,0,3,37,128
17.416089,73.469884,30732.0,10,1962,7,1960,17.4,73.5,2,4,23,16,4,0,1,6,10
17.578787,73.830942,50.0,12,2023,3,2020,17.6,73.8,2,0,2,47,4,3,3,37,156
17.718521,73.837427,30.0,12,2014,7,2010,17.7,73.8,2,10,23,24,4,3,3,40,174
17.60719,73.823715,4151.0,9,2022,3,2020,17.6,73.8,2,10,23,65,4,0,0,37,146
17.550127,73.495496,30.0,7,2021,9,2020,17.6,73.5,2,10,23,24,4,3,0,29,74
17.616616,73.84167,5091.0,12,2023,27,2020,17.6,73.8,2,9,7,29,4,0,3,37,156
17.541914,73.463494,1000.0,9,2003,7,2000,17.5,73.5,2,10,23,63,4,3,0,37,106
17.607346,73.838485,4151.0,4,2023,19,2020,17.6,73.8,2,10,23,65,4,0,2,37,56
17.609203,73.85,1000.0,1,2020,12,2020,17.6,73.8,2,0,2,47,4,3,3,37,127
17.500558,73.522314,1000.0,8,2020,18,2020,17.5,73.5,2,12,14,13,4,3,0,37,84
17.506895,73.545973,1000.0,7,2003,18,2000,17.5,73.5,2,12,8,18,4,3,0,37,174
17.544891,73.508721,58.0,10,2023,5,2020,17.5,73.5,2,10,23,24,4,0,1,37,138
17.724493,73.838363,993.0,6,1962,27,1960,17.7,73.8,1,1,17,7,4,0,0,40,84
17.741265,73.701426,122.0,1,2012,5,2010,17.7,73.7,1,1,3,1,4,0,3,8,12
17.433408,73.738865,1500.0,7,2013,7,2010,17.4,73.7,2,0,2,47,4,3,0,51,505
