lat_grid,lon_grid,day,month,year,decade,season_enc,coordinateUncertaintyInMeters,species_richness,order_enc,family_enc,class_enc,taxonRank_enc,basisOfRecord_enc,decimalLatitude,decimalLongitude,plant_sighting_density
17.4,73.7,12,2,2017,2010,0,3000.0,112,12,36,1,2,4,17.439844,73.670082,941
17.4,73.7,23,4,2021,2020,1,549.0,112,14,0,1,2,0,17.390665,73.68722,941
17.7,73.8,20,9,2021,2020,3,547.0,232,8,25,0,2,0,17.728534,73.807954,6544
17.7,73.8,4,9,2023,2020,3,150.0,232,12,6,1,2,0,17.727265,73.840414,6544
17.7,73.8,26,9,2015,2010,3,645.0,232,2,59,0,2,0,17.738795,73.832771,6544
17.7,73.8,2,10,2019,2010,3,205.0,232,3,11,1,2,0,17.727074,73.819763,6544
17.7,73.8,24,9,2018,2010,3,549.0,232,11,35,1,2,4,17.731706,73.807094,6544
17.7,73.8,11,10,2012,2010,3,2000.0,232,3,17,1,2,4,17.719233,73.808207,6544
17.7,73.8,27,8,2022,2020,2,244.0,232,2,59,0,2,0,17.730803,73.803422,6544
17.7,73.8,12,9,2011,2010,3,993.0,232,2,59,0,2,0,17.71403,73.820627,6544
17.7,73.8,23,12,2023,2020,0,526.0,232,8,25,0,2,0,17.738211,73.85,6544
17.4,73.7,2,12,2021,2020,0,549.0,112,17,34,1,2,0,17.439558,73.657465,941
17.7,73.8,27,10,2015,2010,3,378.0,232,3,52,1,2,0,17.707393,73.822285,6544
17.6,73.8,1,8,2017,2010,2,204.0,81,2,59,0,2,0,17.590275,73.83053,884
17.7,73.8,20,10,2025,2020,3,205.0,232,19,24,1,2,0,17.741914,73.810883,6544
17.7,73.8,9,12,2018,2010,0,993.0,232,4,15,1,2,0,17.711966,73.818596,6544
17.4,73.6,12,9,2014,2010,3,5000.0,60,11,35,1,2,4,17.446356,73.638615,435
17.7,73.8,29,7,2019,2010,2,4.0,232,30,82,1,2,0,17.715537,73.808339,6544
17.5,73.8,23,9,2021,2020,3,549.0,17,11,35,1,2,0,17.492192,73.81367,99
17.7,73.8,12,9,2022,2020,3,993.0,232,2,59,0,2,0,17.719969,73.805866,6544
17.7,73.8,29,3,1991,1990,1,122.0,232,23,69,0,2,0,17.742046,73.788943,6544
17.7,73.8,26,4,2022,2020,1,205.0,232,14,43,1,2,0,17.732089,73.819692,6544
17.7,73.8,9,9,2017,2010,3,205.0,232,8,25,0,2,0,17.706794,73.806748,6544
17.7,73.8,12,9,2011,2010,3,155.0,232,3,52,1,2,0,17.737045,73.802988,6544
17.7,73.8,9,10,2020,2020,3,645.0,232,3,52,1,2,0,17.718901,73.811668,6544
17.4,73.7,29,9,2016,2010,3,29.0,112,11,35,1,2,0,17.399708,73.72067,941
17.8,73.8,30,10,2014,2010,3,209.0,34,2,59,0,2,0,17.765339,73.754784,205
17.7,73.8,11,9,2018,2010,3,2.0,232,10,12,1,2,0,17.73386,73.817003,6544
17.7,73.8,26,9,2016,2010,3,549.0,232,12,77,1,2,0,17.737846,73.836801,6544
17.7,73.8,18,10,2024,2020,3,298.0,232,14,0,1,2,0,17.730716,73.840171,6544
17.6,73.8,13,10,2013,2010,3,549.0,81,10,12,1,2,0,17.598427,73.841191,884
17.4,73.7,2,9,2011,2010,3,1069.0,112,12,77,1,2,0,17.395535,73.721503,941
17.7,73.8,30,10,2020,2020,3,865.0,232,2,59,0,2,0,17.73642,73.790819,6544
17.5,73.5,7,1,2020,2020,0,6068.0,30,12,6,1,2,0,17.54369,73.523999,221
17.7,73.8,8,9,2021,2020,3,10.0,232,23,69,0,2,4,17.73716,73.81707,6544
17.7,73.8,4,10,2016,2010,3,439.0,232,4,15,1,2,0,17.745653,73.808569,6544
17.5,73.7,26,9,2018,2010,3,30732.0,12,25,62,1,2,0,17.511215,73.706666,33
17.5,73.6,21,9,2024,2020,3,549.0,23,2,59,0,2,0,17.467975,73.611057,115
17.7,73.8,14,9,2014,2010,3,5452.0,232,11,35,1,2,0,17.732105,73.811789,6544
17.7,73.8,7,9,2023,2020,3,7838.0,232,12,6,1,2,0,17.70117,73.833913,6544
17.7,73.8,27,3,2023,2020,1,1830.0,232,12,6,1,2,0,17.72896,73.811676,6544
17.4,73.5,12,9,2014,2010,3,549.0,23,3,11,1,2,0,17.448668,73.501288,128
17.7,73.8,21,10,2020,2020,3,993.0,232,11,35,1,2,0,17.735216,73.842298,6544
17.7,73.8,17,9,2010,2010,3,263.0,232,14,43,1,2,0,17.730112,73.80014,6544
17.6,73.8,22,7,2017,2010,2,549.0,81,25,51,1,2,0,17.592771,73.848832,884
17.5,73.8,16,1,2025,2020,0,549.0,17,17,34,1,2,0,17.501817,73.821519,99
17.7,73.8,26,9,2014,2010,3,3152.0,232,27,45,1,2,0,17.720524,73.816516,6544
17.7,73.8,27,10,2023,2020,3,549.0,232,28,3,1,2,0,17.726843,73.85,6544
17.7,73.8,24,10,2015,2010,3,549.0,232,14,67,1,2,0,17.711173,73.83866,6544
17.7,73.8,22,10,2012,2010,3,298.0,232,13,40,1,2,0,17.725719,73.834921,6544
17.7,73.8,28,10,2018,2010,3,2000.0,232,8,25,0,2,4,17.712775,73.83401,6544
17.4,73.7,22,9,2012,2010,3,549.0,112,9,29,1,2,0,17.439057,73.657075,941
17.7,73.8,12,9,2023,2020,3,1944.0,232,3,11,1,2,0,17.735575,73.835988,6544
17.7,73.8,5,10,2021,2020,3,227.0,232,11,35,1,2,0,17.733772,73.833,6544
17.7,73.8,9,9,2018,2010,3,549.0,232,8,25,0,2,0,17.71007,73.832225,6544
17.7,73.8,20,9,2015,2010,3,205.0,232,11,35,1,2,0,17.724299,73.801344,6544
17.7,73.8,27,5,2018,2010,1,993.0,232,1,5,1,2,0,17.723426,73.813528,6544
17.4,73.6,20,11,2011,2010,3,549.0,60,23,69,0,2,3,17.419046,73.601431,435
17.4,73.7,12,9,2025,2020,3,549.0,112,2,59,0,2,0,17.407419,73.652876,941
17.5,73.6,20,10,2021,2020,3,5000.0,23,11,35,1,2,4,17.454674,73.620818,115
17.7,73.8,10,10,2018,2010,3,3152.0,232,2,59,0,2,0,17.729392,73.816915,6544
17.4,73.8,20,9,2018,2010,3,15.0,30,3,11,1,2,0,17.378109,73.757619,100
17.7,73.8,18,9,2010,2010,3,3152.0,232,30,26,1,2,0,17.72409,73.824763,6544
17.7,73.8,22,11,2019,2010,3,795.0,232,12,6,1,2,0,17.730524,73.796275,6544
17.5,73.6,16,9,2015,2010,3,3.0,23,14,0,1,2,0,17.533311,73.550148,115
17.4,73.7,20,9,2017,2010,3,549.0,112,10,12,1,2,0,17.393846,73.720017,941
17.7,73.8,19,10,2022,2020,3,1830.0,232,25,75,1,2,0,17.732139,73.807934,6544
17.7,73.8,21,9,2023,2020,3,1830.0,232,11,35,1,2,0,17.721552,73.823133,6544
17.7,73.8,29,10,2009,2000,3,549.0,232,9,13,1,2,0,17.724563,73.822657,6544
17.7,73.8,2,9,2013,2010,3,1672.0,232,8,25,0,2,0,17.702105,73.817412,6544
17.7,73.8,26,10,2015,2010,3,5452.0,232,8,25,0,2,0,17.716854,73.807908,6544
17.7,73.8,21,9,2021,2020,3,205.0,232,2,59,0,2,0,17.731268,73.803029,6544
17.6,73.5,28,9,2013,2010,3,1678.0,10,6,31,1,2,0,17.55767,73.461407,44
17.7,73.8,29,11,2019,2010,3,205.0,232,24,30,2,2,0,17.717973,73.808399,6544
17.7,73.8,20,3,2015,2010,1,4.0,232,8,25,0,2,0,17.737971,73.82029,6544
17.7,73.8,12,10,2018,2010,3,3152.0,232,2,59,0,2,0,17.699438,73.813153,6544
17.7,73.8,23,10,2021,2020,3,549.0,232,14,41,1,2,0,17.746695,73.775096,6544
