coordinateUncertaintyInMeters,day,month,year,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,bird_sighting_density,decimalLatitude,decimalLongitude,lat_grid,lon_grid,decade,season_enc,species_richness
337.3333333333333,26,11,2023,13,39,1,0,1.0,17.401634,73.6728,17.4,73.7,2020,3,243
337.3333333333333,24,2,2021,7,17,1,0,3.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,15,5,2024,14,8,1,0,2.0,17.355341,73.763374,17.4,73.8,2020,1,163
337.3333333333333,7,1,2024,13,21,1,0,1.0,17.769136,73.7421,17.8,73.7,2020,0,181
337.3333333333333,8,6,2020,13,42,1,0,2.0,17.507292,73.593796,17.5,73.6,2020,2,168
337.3333333333333,6,1,2024,13,38,1,0,7.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,6,6,2018,13,44,1,0,8.0,17.6844,73.8078,17.7,73.8,2010,2,214
337.3333333333333,22,9,2016,13,29,1,0,3.0,17.72487,73.82681,17.7,73.8,2010,3,214
337.3333333333333,3,2,2024,13,31,1,0,1.0,17.450756,73.71137,17.5,73.7,2020,0,120
337.3333333333333,24,6,2020,13,11,1,0,3.0,17.507244,73.593765,17.5,73.6,2020,2,168
337.3333333333333,14,2,2021,14,65,1,0,2.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,24,2,2021,13,3,1,0,4.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,30,12,2020,13,36,1,0,1.0,17.729866,73.76544,17.7,73.8,2020,0,214
337.3333333333333,26,11,2023,13,39,1,0,1.0,17.384584,73.65238,17.4,73.7,2020,3,243
337.3333333333333,30,12,2020,9,20,1,0,1.0,17.714851,73.81345,17.7,73.8,2020,0,214
337.3333333333333,13,12,2024,13,16,1,0,1.0,17.530613,73.51657,17.5,73.5,2020,0,219
337.3333333333333,19,2,2024,17,53,1,0,2.0,17.469702,73.464195,17.5,73.5,2020,0,219
337.3333333333333,12,11,2024,7,17,1,0,2.0,17.596498,73.82991,17.6,73.8,2020,3,119
337.3333333333333,30,12,2020,11,46,1,0,1.0,17.729866,73.76544,17.7,73.8,2020,0,214
337.3333333333333,22,1,2024,3,70,1,0,1.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,22,1,2024,18,61,1,0,2.0,17.726736,73.82293,17.7,73.8,2020,0,214
337.3333333333333,20,11,2024,17,53,1,0,3.0,17.388306,73.737175,17.4,73.7,2020,3,243
337.3333333333333,21,5,2022,18,61,1,0,1.0,17.769136,73.7421,17.8,73.7,2020,1,181
337.3333333333333,30,3,2024,13,44,1,0,1.0,17.349335,73.77036,17.3,73.8,2020,1,98
337.3333333333333,6,6,2018,11,46,1,0,8.0,17.6844,73.8078,17.7,73.8,2010,2,214
337.3333333333333,13,10,2024,7,17,1,0,3.0,17.72487,73.82681,17.7,73.8,2020,3,214
337.3333333333333,30,3,2024,13,39,1,0,1.0,17.324001,73.72256,17.3,73.7,2020,1,107
337.3333333333333,7,6,2018,15,34,1,0,3.0,17.6844,73.8078,17.7,73.8,2010,2,214
337.3333333333333,14,6,2024,13,16,1,0,2.0,17.547804,73.520546,17.5,73.5,2020,2,219
337.3333333333333,26,11,2023,13,54,1,0,1.0,17.384584,73.65238,17.4,73.7,2020,3,243
337.3333333333333,23,9,2024,11,46,1,0,2.0,17.449356,73.70625,17.4,73.7,2020,3,243
337.3333333333333,17,12,2023,13,29,1,0,45.0,17.389006,73.737785,17.4,73.7,2020,0,243
337.3333333333333,31,3,2024,0,0,1,0,1.0,17.373276,73.67942,17.4,73.7,2020,1,243
337.3333333333333,15,9,2016,13,31,1,0,5.0,17.72487,73.82681,17.7,73.8,2010,3,214
337.3333333333333,11,6,2020,13,11,1,0,2.0,17.507292,73.593796,17.5,73.6,2020,2,168
